transcript_id	gene_id	gene_name	gene_type	seqnames	strand	left_start	left_end	left_is_TE	left_TE_name	left_TE_class	left_TE_family	left_TE_overlap_width	right_start	right_end	right_is_TE	right_TE_name	right_TE_class	right_TE_family	right_TE_overlap_width	junction_type	donor_site	acceptor_site
OFFICIAL_SIMTX_ENSMUSG00000004748.5_iso3	ENSMUSG00000004748.5	Mtfp1	protein_coding	chr11	-	4095216	4095445	FALSE	none	none	none	0	4094814	4095140	TRUE	MIRc	SINE	MIR	37	host_to_TE	4095216	4095140
OFFICIAL_SIMTX_ENSMUSG00000004748.5_iso3	ENSMUSG00000004748.5	Mtfp1	protein_coding	chr11	-	4094814	4095140	TRUE	MIRc	SINE	MIR	37	4094389	4094516	FALSE	none	none	none	0	TE_to_host	4094814	4094516
OFFICIAL_SIMTX_ENSMUSG00000005378.16_iso1	ENSMUSG00000005378.16	Wbscr22	protein_coding	chr5	-	135057620	135057670	FALSE	none	none	none	0	135056028	135056727	TRUE	B4	SINE	B4	180	host_to_TE	135057620	135056727
OFFICIAL_SIMTX_ENSMUSG00000005779.11_iso1	ENSMUSG00000005779.11	Psmb4	protein_coding	chr3	-	94884671	94884843	TRUE	PB1D9	SINE	Alu	61	94884322	94884440	FALSE	none	none	none	0	TE_to_host	94884671	94884440
OFFICIAL_SIMTX_ENSMUSG00000005779.11_iso2	ENSMUSG00000005779.11	Psmb4	protein_coding	chr3	-	94885307	94885955	TRUE	RSINE1,PB1D10	SINE	B4,Alu	125	94884917	94885033	FALSE	none	none	none	0	TE_to_host	94885307	94885033
OFFICIAL_SIMTX_ENSMUSG00000005779.11_iso2	ENSMUSG00000005779.11	Psmb4	protein_coding	chr3	-	94884917	94885033	FALSE	none	none	none	0	94884671	94884843	TRUE	PB1D9	SINE	Alu	61	host_to_TE	94884917	94884843
OFFICIAL_SIMTX_ENSMUSG00000005779.11_iso2	ENSMUSG00000005779.11	Psmb4	protein_coding	chr3	-	94884671	94884843	TRUE	PB1D9	SINE	Alu	61	94884671	94884759	FALSE	none	none	none	0	TE_to_host	94884671	94884759
OFFICIAL_SIMTX_ENSMUSG00000005779.11_iso3	ENSMUSG00000005779.11	Psmb4	protein_coding	chr3	-	94884671	94884843	TRUE	PB1D9	SINE	Alu	61	94884093	94884440	FALSE	none	none	none	0	TE_to_host	94884671	94884440
OFFICIAL_SIMTX_ENSMUSG00000005886.13_iso1	ENSMUSG00000005886.13	Ncoa2	protein_coding	chr1	-	13186733	13186910	FALSE	none	none	none	0	13182284	13184363	TRUE	B1F2,ID_B1	SINE	Alu,B4	140	host_to_TE	13186733	13184363
OFFICIAL_SIMTX_ENSMUSG00000005886.13_iso1	ENSMUSG00000005886.13	Ncoa2	protein_coding	chr1	-	13182284	13184363	TRUE	B1F2,ID_B1	SINE	Alu,B4	140	13148931	13149108	FALSE	none	none	none	0	TE_to_host	13182284	13149108
OFFICIAL_SIMTX_ENSMUSG00000005897.13_iso2	ENSMUSG00000005897.13	Nr2c1	protein_coding	chr10	+	94156286	94156979	TRUE	B4A,URR1A	SINE,DNA	B4,hAT-Charlie	194	94165418	94165597	FALSE	none	none	none	0	TE_to_host	94156979	94165418
OFFICIAL_SIMTX_ENSMUSG00000005897.13_iso3	ENSMUSG00000005897.13	Nr2c1	protein_coding	chr10	+	94156286	94156979	TRUE	B4A,URR1A	SINE,DNA	B4,hAT-Charlie	194	94167410	94167557	FALSE	none	none	none	0	TE_to_host	94156979	94167410
OFFICIAL_SIMTX_ENSMUSG00000005907.13_iso2	ENSMUSG00000005907.13	Pex1	protein_coding	chr5	+	3624067	3624469	TRUE	PB1D9	SINE	Alu	111	3626000	3626134	FALSE	none	none	none	0	TE_to_host	3624469	3626000
OFFICIAL_SIMTX_ENSMUSG00000006403.11_iso2	ENSMUSG00000006403.11	Adamts4	protein_coding	chr1	+	171256955	171257130	FALSE	none	none	none	0	171258752	171260637	TRUE	MIRb,MIRc	SINE	MIR	139	host_to_TE	171257130	171258752
OFFICIAL_SIMTX_ENSMUSG00000006575.13_iso1	ENSMUSG00000006575.13	Rundc3a	protein_coding	chr11	+	102400661	102400798	FALSE	none	none	none	0	102401389	102401754	TRUE	L4_A_Mam,L2c	LINE	RTE-X,L2	196	host_to_TE	102400798	102401389
OFFICIAL_SIMTX_ENSMUSG00000006920.13_iso2	ENSMUSG00000006920.13	Ezh1	protein_coding	chr11	-	101194468	101194549	FALSE	none	none	none	0	101193726	101194422	TRUE	PB1D7	SINE	Alu	100	host_to_TE	101194468	101194422
OFFICIAL_SIMTX_ENSMUSG00000006920.13_iso2	ENSMUSG00000006920.13	Ezh1	protein_coding	chr11	-	101193726	101194422	TRUE	PB1D7	SINE	Alu	100	101193275	101193303	FALSE	none	none	none	0	TE_to_host	101193726	101193303
OFFICIAL_SIMTX_ENSMUSG00000006958.12_iso1	ENSMUSG00000006958.12	Chrd	protein_coding	chr16	+	20734273	20734401	FALSE	none	none	none	0	20737342	20738152	TRUE	B3	SINE	B2	169	host_to_TE	20734401	20737342
OFFICIAL_SIMTX_ENSMUSG00000006958.12_iso1	ENSMUSG00000006958.12	Chrd	protein_coding	chr16	+	20737342	20738152	TRUE	B3	SINE	B2	169	20741190	20741344	FALSE	none	none	none	0	TE_to_host	20738152	20741190
OFFICIAL_SIMTX_ENSMUSG00000008730.16_iso1	ENSMUSG00000008730.16	Hipk1	protein_coding	chr3	-	103748114	103751065	TRUE	B1_Mur1	SINE	Alu	139	103746795	103747036	FALSE	none	none	none	0	TE_to_host	103748114	103747036
OFFICIAL_SIMTX_ENSMUSG00000008845.8_iso1	ENSMUSG00000008845.8	Cd163	protein_coding	chr6	+	124328962	124329097	FALSE	none	none	none	0	124329583	124330519	TRUE	B2_Mm2	SINE	B2	167	host_to_TE	124329097	124329583
OFFICIAL_SIMTX_ENSMUSG00000009905.5_iso1	ENSMUSG00000009905.5	Kdsr	protein_coding	chr1	-	106734547	106734630	FALSE	none	none	none	0	106720459	106725021	TRUE	ID4,B1_Mus2	SINE	ID,Alu	151	host_to_TE	106734547	106725021
OFFICIAL_SIMTX_ENSMUSG00000009905.5_iso3	ENSMUSG00000009905.5	Kdsr	protein_coding	chr1	-	106747488	106747583	FALSE	none	none	none	0	106720459	106725021	TRUE	ID4,B1_Mus2	SINE	ID,Alu	151	host_to_TE	106747488	106725021
OFFICIAL_SIMTX_ENSMUSG00000014402.13_iso1	ENSMUSG00000014402.13	Tsg101	protein_coding	chr7	-	46914207	46914410	TRUE	B1_Mus1	SINE	Alu	90	46913378	46913462	FALSE	none	none	none	0	TE_to_host	46914207	46913462
OFFICIAL_SIMTX_ENSMUSG00000014402.13_iso2	ENSMUSG00000014402.13	Tsg101	protein_coding	chr7	-	46890591	46890703	FALSE	none	none	none	0	46888949	46889704	TRUE	B3A	SINE	B2	140	host_to_TE	46890591	46889704
OFFICIAL_SIMTX_ENSMUSG00000015214.13_iso3	ENSMUSG00000015214.13	Mtmr1	protein_coding	chrX	+	71410733	71410846	FALSE	none	none	none	0	71416563	71419196	TRUE	B1F	SINE	Alu	94	host_to_TE	71410846	71416563
OFFICIAL_SIMTX_ENSMUSG00000015697.13_iso1	ENSMUSG00000015697.13	Setdb1	protein_coding	chr3	-	95341656	95341846	FALSE	none	none	none	0	95323525	95324190	TRUE	AmnSINE1	SINE	Deu	115	host_to_TE	95341656	95324190
OFFICIAL_SIMTX_ENSMUSG00000015697.13_iso2	ENSMUSG00000015697.13	Setdb1	protein_coding	chr3	-	95327208	95327836	FALSE	none	none	none	0	95323525	95324190	TRUE	AmnSINE1	SINE	Deu	115	host_to_TE	95327208	95324190
OFFICIAL_SIMTX_ENSMUSG00000015733.12_iso1	ENSMUSG00000015733.12	Capza2	protein_coding	chr6	+	17650003	17650054	FALSE	none	none	none	0	17656238	17659609	TRUE	PB1D10	SINE	Alu	110	host_to_TE	17650054	17656238
OFFICIAL_SIMTX_ENSMUSG00000015733.12_iso1	ENSMUSG00000015733.12	Capza2	protein_coding	chr6	+	17656238	17659609	TRUE	PB1D10	SINE	Alu	110	17657173	17657252	FALSE	none	none	none	0	TE_to_host	17659609	17657173
OFFICIAL_SIMTX_ENSMUSG00000015968.15_iso1	ENSMUSG00000015968.15	Cacna1d	protein_coding	chr14	-	30352925	30353486	TRUE	L2b	LINE	L2	56	30196724	30196863	FALSE	none	none	none	0	TE_to_host	30352925	30196863
OFFICIAL_SIMTX_ENSMUSG00000018651.13_iso1	ENSMUSG00000018651.13	Tada2a	protein_coding	chr11	-	84087111	84087460	TRUE	B1_Mur4	SINE	Alu	61	84082879	84082956	FALSE	none	none	none	0	TE_to_host	84087111	84082956
OFFICIAL_SIMTX_ENSMUSG00000018651.13_iso2	ENSMUSG00000018651.13	Tada2a	protein_coding	chr11	-	84087111	84087512	TRUE	B1_Mur4	SINE	Alu	61	84085431	84085771	FALSE	none	none	none	0	TE_to_host	84087111	84085771
OFFICIAL_SIMTX_ENSMUSG00000018819.9_iso3	ENSMUSG00000018819.9	Lsp1	protein_coding	chr7	+	142484479	142484625	FALSE	none	none	none	0	142486347	142488371	TRUE	RSINE1	SINE	B4	116	host_to_TE	142484625	142486347
OFFICIAL_SIMTX_ENSMUSG00000018819.9_iso3	ENSMUSG00000018819.9	Lsp1	protein_coding	chr7	+	142486347	142488371	TRUE	RSINE1	SINE	B4	116	142488866	142488940	FALSE	none	none	none	0	TE_to_host	142488371	142488866
OFFICIAL_SIMTX_ENSMUSG00000019232.13_iso2	ENSMUSG00000019232.13	Etnppl	protein_coding	chr3	+	130617572	130621628	TRUE	B1_Mur4	SINE	Alu	156	130625468	130625558	FALSE	none	none	none	0	TE_to_host	130621628	130625468
OFFICIAL_SIMTX_ENSMUSG00000019232.13_iso2	ENSMUSG00000019232.13	Etnppl	protein_coding	chr3	+	130631329	130631418	FALSE	none	none	none	0	130634549	130637521	TRUE	B4A,B3	SINE	B4,B2	155	host_to_TE	130631418	130634549
OFFICIAL_SIMTX_ENSMUSG00000019232.13_iso3	ENSMUSG00000019232.13	Etnppl	protein_coding	chr3	+	130617572	130621628	TRUE	B1_Mur4	SINE	Alu	156	130625468	130625558	FALSE	none	none	none	0	TE_to_host	130621628	130625468
OFFICIAL_SIMTX_ENSMUSG00000019806.12_iso1	ENSMUSG00000019806.12	Aig1	protein_coding	chr10	-	13861119	13861326	FALSE	none	none	none	0	13855136	13855260	TRUE	ORR1E	LTR	ERVL-MaLR	33	host_to_TE	13861119	13855260
OFFICIAL_SIMTX_ENSMUSG00000019806.12_iso1	ENSMUSG00000019806.12	Aig1	protein_coding	chr10	-	13855136	13855260	TRUE	ORR1E	LTR	ERVL-MaLR	33	13829243	13829398	FALSE	none	none	none	0	TE_to_host	13855136	13829398
OFFICIAL_SIMTX_ENSMUSG00000020325.10_iso3	ENSMUSG00000020325.10	Fstl3	protein_coding	chr10	+	79781124	79781351	FALSE	none	none	none	0	79781432	79782630	TRUE	ID_B1	SINE	B4	221	host_to_TE	79781351	79781432
OFFICIAL_SIMTX_ENSMUSG00000020389.17_iso3	ENSMUSG00000020389.17	Cdkl3	protein_coding	chr11	+	52033514	52033611	FALSE	none	none	none	0	52084371	52085109	TRUE	MLT1G,PB1D7	LTR,SINE	ERVL-MaLR,Alu	150	host_to_TE	52033611	52084371
OFFICIAL_SIMTX_ENSMUSG00000020516.14_iso2	ENSMUSG00000020516.14	Rps6kb1	protein_coding	chr11	-	86513300	86513390	FALSE	none	none	none	0	86498871	86502962	TRUE	B2_Mm2	SINE	B2	188	host_to_TE	86513300	86502962
OFFICIAL_SIMTX_ENSMUSG00000020532.17_iso1	ENSMUSG00000020532.17	Acaca	protein_coding	chr11	+	84129700	84133111	TRUE	PB1D7,PB1D10,B4A,B1F2,B3,MER94	SINE,DNA	Alu,B4,B2,hAT-Blackjack	237	84179831	84179926	FALSE	none	none	none	0	TE_to_host	84133111	84179831
OFFICIAL_SIMTX_ENSMUSG00000020532.17_iso3	ENSMUSG00000020532.17	Acaca	protein_coding	chr11	+	84129700	84133111	TRUE	PB1D7,PB1D10,B4A,B1F2,B3,MER94	SINE,DNA	Alu,B4,B2,hAT-Blackjack	237	84224444	84224525	FALSE	none	none	none	0	TE_to_host	84133111	84224444
OFFICIAL_SIMTX_ENSMUSG00000020629.11_iso1	ENSMUSG00000020629.11	Adi1	protein_coding	chr12	+	28679390	28679737	FALSE	none	none	none	0	28680966	28682175	TRUE	LTRIS_Mus	LTR	ERV1	521	host_to_TE	28679737	28680966
OFFICIAL_SIMTX_ENSMUSG00000020629.11_iso2	ENSMUSG00000020629.11	Adi1	protein_coding	chr12	+	28679390	28679569	FALSE	none	none	none	0	28680966	28682175	TRUE	LTRIS_Mus	LTR	ERV1	521	host_to_TE	28679569	28680966
OFFICIAL_SIMTX_ENSMUSG00000020707.6_iso2	ENSMUSG00000020707.6	Rnf135	protein_coding	chr11	+	80196873	80196947	FALSE	none	none	none	0	80198561	80199757	TRUE	B4A,B1_Mur1,MER77	SINE,LTR	B4,Alu,ERVL	426	host_to_TE	80196947	80198561
OFFICIAL_SIMTX_ENSMUSG00000020804.11_iso2	ENSMUSG00000020804.11	Aanat	protein_coding	chr11	+	116586432	116586481	TRUE	MTC	LTR	ERVL-MaLR	50	116593687	116593774	FALSE	none	none	none	0	TE_to_host	116586481	116593687
OFFICIAL_SIMTX_ENSMUSG00000020978.9_iso2	ENSMUSG00000020978.9	Klhdc2	protein_coding	chr12	+	69300216	69300295	FALSE	none	none	none	0	69305783	69308694	TRUE	PB1D10,B2_Mm2	SINE	Alu,B2	98	host_to_TE	69300295	69305783
OFFICIAL_SIMTX_ENSMUSG00000021040.14_iso1	ENSMUSG00000021040.14	Slirp	protein_coding	chr12	+	87449804	87449924	FALSE	none	none	none	0	87449804	87452206	TRUE	B1_Mur2,Lx8b,B4A	SINE,LINE	Alu,L1,B4	292	host_to_TE	87449924	87449804
OFFICIAL_SIMTX_ENSMUSG00000021210.14_iso1	ENSMUSG00000021210.14	Akr1c6	protein_coding	chr13	+	4434432	4434474	FALSE	none	none	none	0	4434728	4435046	TRUE	MTC	LTR	ERVL-MaLR	214	host_to_TE	4434474	4434728
OFFICIAL_SIMTX_ENSMUSG00000021210.14_iso1	ENSMUSG00000021210.14	Akr1c6	protein_coding	chr13	+	4434728	4435046	TRUE	MTC	LTR	ERVL-MaLR	214	4436280	4436447	FALSE	none	none	none	0	TE_to_host	4435046	4436280
OFFICIAL_SIMTX_ENSMUSG00000021668.13_iso2	ENSMUSG00000021668.13	Polk	protein_coding	chr13	-	96482458	96482491	FALSE	none	none	none	0	96480689	96482254	TRUE	B1_Mus1	SINE	Alu	156	host_to_TE	96482458	96482254
OFFICIAL_SIMTX_ENSMUSG00000021867.15_iso2	ENSMUSG00000021867.15	Tmem254b	protein_coding	chr14	-	26204891	26205157	FALSE	none	none	none	0	26203539	26204276	TRUE	ORR1B1	LTR	ERVL-MaLR	283	host_to_TE	26204891	26204276
OFFICIAL_SIMTX_ENSMUSG00000021880.6_iso1	ENSMUSG00000021880.6	Rnase6	protein_coding	chr14	+	51129068	51129164	FALSE	none	none	none	0	51130148	51131122	TRUE	ID	SINE	ID	61	host_to_TE	51129164	51130148
OFFICIAL_SIMTX_ENSMUSG00000021880.6_iso2	ENSMUSG00000021880.6	Rnase6	protein_coding	chr14	+	51129068	51129164	FALSE	none	none	none	0	51130148	51131122	TRUE	ID	SINE	ID	61	host_to_TE	51129164	51130148
OFFICIAL_SIMTX_ENSMUSG00000022292.14_iso3	ENSMUSG00000022292.14	Rrm2b	protein_coding	chr15	-	37953599	37955138	TRUE	B2_Mm1a	SINE	B2	192	37945039	37945172	FALSE	none	none	none	0	TE_to_host	37953599	37945172
OFFICIAL_SIMTX_ENSMUSG00000022304.11_iso1	ENSMUSG00000022304.11	Dpys	protein_coding	chr15	-	39782705	39782971	FALSE	none	none	none	0	39768485	39769258	TRUE	MIR	SINE	MIR	44	host_to_TE	39782705	39769258
OFFICIAL_SIMTX_ENSMUSG00000022494.12_iso2	ENSMUSG00000022494.12	Shisa9	protein_coding	chr16	+	11984581	11985143	FALSE	none	none	none	0	11989993	11990084	TRUE	MIR	SINE	MIR	9	host_to_TE	11985143	11989993
OFFICIAL_SIMTX_ENSMUSG00000022494.12_iso2	ENSMUSG00000022494.12	Shisa9	protein_coding	chr16	+	11989993	11990084	TRUE	MIR	SINE	MIR	9	12244608	12244763	FALSE	none	none	none	0	TE_to_host	11990084	12244608
OFFICIAL_SIMTX_ENSMUSG00000022494.12_iso3	ENSMUSG00000022494.12	Shisa9	protein_coding	chr16	+	11984581	11985143	FALSE	none	none	none	0	11995283	11995390	TRUE	L2a	LINE	L2	108	host_to_TE	11985143	11995283
OFFICIAL_SIMTX_ENSMUSG00000022494.12_iso3	ENSMUSG00000022494.12	Shisa9	protein_coding	chr16	+	11995283	11995390	TRUE	L2a	LINE	L2	108	11997053	11997180	FALSE	none	none	none	0	TE_to_host	11995390	11997053
OFFICIAL_SIMTX_ENSMUSG00000022508.5_iso1	ENSMUSG00000022508.5	Bcl6	protein_coding	chr16	-	23969906	23970073	FALSE	none	none	none	0	23968307	23971599	TRUE	URR1B,URR1A	DNA	hAT-Charlie	235	host_to_TE	23969906	23971599
OFFICIAL_SIMTX_ENSMUSG00000022508.5_iso1	ENSMUSG00000022508.5	Bcl6	protein_coding	chr16	-	23968307	23971599	TRUE	URR1B,URR1A	DNA	hAT-Charlie	235	23968060	23968197	FALSE	none	none	none	0	TE_to_host	23968307	23968197
OFFICIAL_SIMTX_ENSMUSG00000022508.5_iso2	ENSMUSG00000022508.5	Bcl6	protein_coding	chr16	-	23971415	23971599	FALSE	none	none	none	0	23968307	23971599	TRUE	URR1B,URR1A	DNA	hAT-Charlie	235	host_to_TE	23971415	23971599
OFFICIAL_SIMTX_ENSMUSG00000022508.5_iso2	ENSMUSG00000022508.5	Bcl6	protein_coding	chr16	-	23968307	23971599	TRUE	URR1B,URR1A	DNA	hAT-Charlie	235	23967694	23968197	FALSE	none	none	none	0	TE_to_host	23968307	23968197
OFFICIAL_SIMTX_ENSMUSG00000022659.12_iso1	ENSMUSG00000022659.12	Gcsam	protein_coding	chr16	+	45618818	45618846	FALSE	none	none	none	0	45619824	45621239	TRUE	MER58A	DNA	hAT-Charlie	62	host_to_TE	45618846	45619824
OFFICIAL_SIMTX_ENSMUSG00000022659.12_iso2	ENSMUSG00000022659.12	Gcsam	protein_coding	chr16	+	45618818	45618846	FALSE	none	none	none	0	45619824	45622867	TRUE	MER58A,ID4_	DNA,SINE	hAT-Charlie,ID	194	host_to_TE	45618846	45619824
OFFICIAL_SIMTX_ENSMUSG00000022659.12_iso3	ENSMUSG00000022659.12	Gcsam	protein_coding	chr16	+	45618818	45618846	FALSE	none	none	none	0	45619824	45621239	TRUE	MER58A	DNA	hAT-Charlie	62	host_to_TE	45618846	45619824
OFFICIAL_SIMTX_ENSMUSG00000022677.13_iso1	ENSMUSG00000022677.13	Fopnl	protein_coding	chr16	-	14313816	14314013	FALSE	none	none	none	0	14299442	14300209	TRUE	MTD	LTR	ERVL-MaLR	135	host_to_TE	14313816	14300209
OFFICIAL_SIMTX_ENSMUSG00000022677.13_iso2	ENSMUSG00000022677.13	Fopnl	protein_coding	chr16	-	14304454	14304564	FALSE	none	none	none	0	14299244	14300209	TRUE	MTD	LTR	ERVL-MaLR	333	host_to_TE	14304454	14300209
OFFICIAL_SIMTX_ENSMUSG00000022677.13_iso3	ENSMUSG00000022677.13	Fopnl	protein_coding	chr16	-	14313816	14314013	FALSE	none	none	none	0	14299442	14300209	TRUE	MTD	LTR	ERVL-MaLR	135	host_to_TE	14313816	14300209
OFFICIAL_SIMTX_ENSMUSG00000022761.9_iso1	ENSMUSG00000022761.9	Lztr1	protein_coding	chr16	+	17525253	17525344	FALSE	none	none	none	0	17525423	17526331	TRUE	LTR10_RN	LTR	ERVK	303	host_to_TE	17525344	17525423
OFFICIAL_SIMTX_ENSMUSG00000022849.4_iso1	ENSMUSG00000022849.4	Hspbap1	protein_coding	chr16	+	35818679	35818762	FALSE	none	none	none	0	35824883	35828446	TRUE	RMER6BA	LTR	ERVK	34	host_to_TE	35818762	35824883
OFFICIAL_SIMTX_ENSMUSG00000022849.4_iso2	ENSMUSG00000022849.4	Hspbap1	protein_coding	chr16	+	35818679	35818762	FALSE	none	none	none	0	35824883	35828446	TRUE	RMER6BA	LTR	ERVK	34	host_to_TE	35818762	35824883
OFFICIAL_SIMTX_ENSMUSG00000022849.4_iso3	ENSMUSG00000022849.4	Hspbap1	protein_coding	chr16	+	35824689	35824799	FALSE	none	none	none	0	35824883	35828446	TRUE	RMER6BA	LTR	ERVK	34	host_to_TE	35824799	35824883
OFFICIAL_SIMTX_ENSMUSG00000022941.8_iso1	ENSMUSG00000022941.8	Ripply3	protein_coding	chr16	+	94333256	94333323	FALSE	none	none	none	0	94335727	94336935	TRUE	B2_Mm2	SINE	B2	192	host_to_TE	94333323	94335727
OFFICIAL_SIMTX_ENSMUSG00000023918.11_iso2	ENSMUSG00000023918.11	Adgrf4	protein_coding	chr17	-	42657091	42657602	FALSE	none	none	none	0	42656894	42657602	TRUE	MIRc	SINE	MIR	75	host_to_TE	42657091	42657602
OFFICIAL_SIMTX_ENSMUSG00000023993.6_iso1	ENSMUSG00000023993.6	Treml1	protein_coding	chr17	+	48365996	48366048	FALSE	none	none	none	0	48366620	48367174	TRUE	RLTR17B_Mm	LTR	ERVK	11	host_to_TE	48366048	48366620
